File Name,Table Size,Hash Base,Words,Collisions,Probes,Probe Max,Rehash,Time
english_small.txt,250727,1,5928,5558,13996730,5812,0,10
english_small.txt,402221,1,5843,5473,13542962,5678,0,10
english_small.txt,1000081,1,5879,5509,13734802,5762,0,10
english_small.txt,250727,27183,84097,14265,22543,21,0,0.6155824410000008
english_small.txt,402221,27183,84097,9000,11736,13,0,0.60649291
english_small.txt,1000081,27183,84097,3489,3910,5,0,0.5942947539999963
english_small.txt,250727,250726,5370,5277,13818300,5311,0,10
english_small.txt,402221,250726,84097,9010,11798,10,0,0.6065403910000029
english_small.txt,1000081,250726,84097,3606,4047,8,0,0.5992743070000017
english_large.txt,250727,1,5870,5533,13693624,5693,0,10
english_large.txt,402221,1,5929,5592,14005034,5713,0,10
english_large.txt,1000081,1,5932,5595,14021485,5713,0,10
english_large.txt,250727,27183,194433,76624,420489,278,0,1.8178332589999968
english_large.txt,402221,27183,194433,47798,100107,43,0,1.4849030759999948
english_large.txt,1000081,27183,194433,19038,24410,15,0,1.410891645999996
english_large.txt,250727,250726,5253,5157,13187238,5196,0,10
english_large.txt,402221,250726,194433,47903,101113,51,0,1.5941167139999948
english_large.txt,1000081,250726,194433,19047,24487,13,0,1.4949163479999896
french.txt,250727,1,6036,5538,13652312,5566,0,10
french.txt,402221,1,6142,5644,14200270,5711,0,10
french.txt,1000081,1,6099,5601,13969819,5689,0,10
french.txt,250727,27183,202358,85022,565691,299,0,2.0650544579999917
french.txt,402221,27183,202358,53377,124796,57,0,1.6787470009999907
french.txt,1000081,27183,202358,22045,30701,21,0,1.5574489020000044
french.txt,250727,250726,5912,5519,13690328,5563,0,10
french.txt,402221,250726,202358,53157,122372,49,0,1.7522709170000041
french.txt,1000081,250726,202358,21708,29927,12,0,1.6868526590000101
